names	artist_id
I Nuovi Angeli	AR1XVTM1187B996D57
Noah Lewis	AR1XZ0N1187B9941D5
Anat Ben David	AR1Y0N71187FB43209
John Wesley	AR1Y2PT1187FB5B9CE
Suicide	AR1Y37Q1187B9B66D2
Faiz Ali Faiz	AR1ZHYZ1187FB3C717
Kraftwerk	AR1ZKBE1187FB53629
Cadet	AR1ZNJO1187B993E46
Naughty By Nature;Naughty By Nature featuring Zhane	AR1ZYLH1187B98C159
Bumblefoot	AR1ZZOW1187B99BA84
Tanto Metro & Devonte	AR202MX1187B9B0383
Patton Oswalt	AR20BO61187B9B880E
Ray Charles	AR20CFC1187B98A25D
Time Zone	AR211WC1187FB52425
ATB	AR219DK1187FB4CEFC
Beto y sus Canarios	AR21EJD1187FB3B9A9
Six Brown Brothers	AR21JFF1187B9A5CBA
Bill Murk	AR21JV01187B999138
12 Gauge	AR21K7Q1187FB3D248
Ms. Dynamite / Bounty Killer	AR21YNH1187FB49649
Marty Robbins	AR223M11187B9ADDD6
Kaija Koo	AR22KLC1187B98E812
Five Fingers of Funk	AR22KZ51187B9A0A31
Shanadoo	AR22R8A1187FB46B9E
50 Cent	AR23C041187FB4D534
The American Boychoir	AR23EC41187FB4805D
Al Dexter	AR23F7J1187B9A550F
Jaco & Mixxmaster	AR23MLO119B8668CDA
Rainie Yang	AR23SSG1187FB3AC75
Otis Spann	AR243ZT1187B9A98D2
Sir Douglas Quintet	AR25LGJ1187B9B2492
Francis Lai	AR25WM21187FB461B3
Warrant	AR261YW1187FB374B3
Conway Twitty	AR26X1C1187B9B0A1B
Geggy Tah	AR26XQ61187FB36CF3
Jordan & Baker	AR27CRT1187B9BA011
Les Blaireaux	AR27XEH1187FB4EC83
YGGDRASIL	AR280881187B98BA28
James Ingram	AR286CH1187B9B8441
Dijous Paella	AR28FIY1187B996C77
Bröderna Djup	AR2ABYH1187B9A0C67
Year Long Disaster	AR2AGLK1187B9AAAD0
Jeff Johnson	AR2B3VQ1187FB54129
Marcelo Radulovich	AR2B8ON1187FB58456
Jeff Beck Group	AR2BBHS1187FB4AE06
Dax Riggs	AR2BG0R1187FB398C3
Raymond Lefèvre	AR2BU3O1187B98EBDA
Roy Roberts	AR2C9UQ1187B98E69F
Basic Channel	AR2CM6U1187B999EB7
Johnny Pearson	AR2D0XK1187B98EC4A
FIR	AR2D6TV1187B9B2FBF
Wesley Tuttle	AR2DKN01187FB3AA39
Old Man's Child	AR2EBRG1187B9B07C8
Satan's Host	AR2EHC11187B9AD895
Brian Tyler	AR2EO6H1187B9A3B92
TAKARU	AR2F0FX1187B9A9ECE
Gina V. D'Orio	AR2F37U1187B990860
Sounds Of Blackness	AR2F4501187FB3EC2E
AFI	AR2FAMK1187FB4CF60
Legacy Five	AR2FJV21187B98EBE3
Ricky Martin	AR2FSX31187B98E3EF
James Carter	AR2G8SU1187FB4A871
Barbara Fairchild	AR2G8UI1187FB3F33C
Pescado Rabioso	AR2GU4Y1187B99F35E
Danny Elfman	AR2H1J41187FB5C640
Jaydee	AR2HFII1187FB378BC
Jesus Jones	AR2HXXS1187B9AF3E2
Francis Dunnery	AR2J2WF1187FB46271
Ethel Merman	AR2JD2Z1187B998A90
Fran Perea	AR2K2CM1187B98D4F1
Andre Popp	AR2KPDL1187B9A6BD8
Petra	AR2KSTE1187FB57A36
Marcel Azzola	AR2L2GV11C8A42C818
Marshall Crenshaw	AR2MD2P1187FB5B328
Jeff Scott Soto	AR2MEUK1187B992D1B
David Robertson	AR2N0221187FB48FB8
Roni Size	AR2NJG71187FB5203E
Rincon Morales	AR2NJW11187FB3F474
Black Tambourine	AR2O20V1187B989AF6
Cece Winans	AR2O3B51187B98CD94
Salt The Wound	AR2O84Q1187FB5BF74
Torcuato Mariano	AR2OH7O1187B99FE4E
Schoolyard Heroes	AR2OPWW1187B9A5057
Kool Savas	AR2P71H1187B9B8C00
Pardesi	AR2PNSZ1187B9AF0A4
Los Chichos	AR2PT4M1187FB55B1A
Robin Frederick	AR2RVGR1187B9B3219
FFH	AR2S4CA1187B99632E
León Gieco	AR2S6UD1187B9B944F
KRS-One	AR2SGQW1187B9B9E7C
Mighty Mighty Bosstones	AR2SMD91187B9B0582
O'2L	AR2TT8P1187B9B624D
Gipsy Kings	AR2UQQ51187B9AC816
Donna Fargo	AR2VJMU1187B9947AF
All Shall Persih	AR2VLIP1187B99F897
The Tokens	AR2VROU1187FB532D7
David Gilmour Featuring Richard Wright	AR2W4T81187FB410A7
Nicola Fasano feat. Paula B.	AR2WUJP1187B99364C
Planxty	AR2XBPG1187B98FCBE
Renato Borghetti	AR2XH7R1187B998D30
Fat Joe	AR2XI6G1187B9AE7DA
Julie Zenatti	AR2XRFQ1187FB417FE
Taya wooden	AR2XSQR11C8A415656
iTAL tEK	AR2ZLBH1187FB592FE
Michael English	AR31BYO1187FB5336C
Valient Thorr	AR31D7E1187FB3BC62
Laid Back	AR31G891187FB3892D
Solomon	AR323JD1187FB483D0
Rebecca Lynn Howard	AR326OO1187FB444FF
The Vaughan Brothers	AR32ETX1187B9A792F
X-Raided	AR32JLC1187B9946AF
Philip Bailey	AR32PK91187FB4D6E2
Oceansize	AR336PG1187FB3DC6E
Olivier Messiaen	AR342K51187B98B571
Flexy	AR343TM1187B99DEFE
The Jordanaires	AR358YS1187FB44A29
Wet Wet Wet	AR35YUO1187B9AD83E
Bombay Rockers	AR36F9J1187FB406F1
The Real Kids	AR3752L1187FB4B67E
Rea_ Chris	AR3793X1187FB50CB3
Wilshire	AR37E341187B989A3E
Shriekback	AR37ILI1187B98E27B
Savoy Brown	AR37K6O1187B9AD049
Lighthouse Family	AR37XMN1187B9AC408
Lil Boosie feat. Bun B_ Trae_ Yo Gotti & Foxx	AR38I491187B9B2F2D
Connie Francis	AR392MV1187FB3C3FE
Marilyn Horne / Wiener Opernorchester / Henry Lewis	AR3AIEI1187B992D8D
Tracy Byrd	AR3AY3R1187FB52CF0
Kai Winding	AR3C3C01187B98E800
Richi M.	AR3CLBX1187FB5A307
Gian Marco	AR3D0BI1187B98A11F
Cartel	AR3DCWS1187B9A4416
The Statler Brothers	AR3DLBB1187B98F3DF
Papoose	AR3DWG81187B98E3FA
Chet Atkins	AR3DYAD1187FB3964E
Sophie Tucker	AR3EABF1187B98AD35
Abijah	AR3EVEE1187B9994B7
Fabolous	AR3FE581187FB3F90A
Seven Mary Three	AR3FOK11187FB3F4EE
Gathering	AR3GCDF1187B99DC06
Johannes Linstead	AR3GE071187B9A6D71
Jim Kweskin	AR3GYKU1187B996AB9
Gall_ France	AR3J4WZ1187B9B17ED
Darko	AR3JLWI1187FB37141
Backstreet Boys	AR3JMC51187B9AE49D
L7	AR3KGPQ1187FB53C84
Dora The Explorer	AR3KXHI1187FB3A8BF
Dann Huff	AR3L4P91187FB42189
Grey Area	AR3LA671187FB567E4
OutKast	AR3MSAN1187B98F06B
Sivuca	AR3N2H11187B98AFBA
Vinylbase	AR3N54Z119B86681C9
Ministry of Sound	AR3NPVS1187FB5108F
Radio Moscow	AR3O0021187B999BC8
The Russell Family	AR3O3TX1187FB48B19
Sinch	AR3O66A1187FB39519
deadboy & the Elephantmen	AR3OS8N1187B9A5F87
Peter Hunnigale	AR3OSJM1187B98B95B
Humanzi	AR3OYPP1187B9952E3
Ben Watt feat. Estelle	AR3P1NA1187FB44B9E
Vixen	AR3PDNJ1187B9AF3F0
Horace Andy	AR3PN3R1187FB4CEBD
Sanna Nielsen	AR3Q3QT1187FB396E7
The Rapture	AR3Q48J1187FB55278
Deep Forest	AR3Q86S1187B9ADDCF
Michelle Wright	AR3QFYG1187B992B2E
Jacques Dutronc	AR3QRJ91187B98E4C2
Monique Marvez	AR3RNXB1187B98F0B4
Leon Berry	AR3S7KI1187FB3F737
Kix	AR3SEQM1187B98E9E8
Héroes del Silencio	AR3SPD91187B9B63E3
Vicious Mary	AR3SWQT1187B9B014F
Atari Teenage Riot	AR3TG3X1187FB4D577
João Gilberto	AR3THYK1187B999F1F
Gyptian	AR3TITY1187B99E790
Christie Hennessy	AR3U3G01187FB58BA7
Dame Edna Everage with Carl Davis conducting the London Symphony Orchestra and The New Antipodean Singers	AR3UFKE1187B9B186E
Patience Dabany	AR3UJPY1187FB5017B
Bebo Norman	AR3USQW1187FB4A90D
Palito Ortega	AR3UYDN1187B99DCA3
Flame	AR3VSHF1187B9B3002
Schizoid	AR3WMW01187B9921F7
Frl.Menke	AR3YBMD1187B99F15C
Vulture Industries	AR3YJMO11C8A42B348
Moving Cloud	AR3ZV061187FB3C821
Neil Diamond	AR40GSU1187FB3AA01
Sam Fan Thomas	AR41B9G1187B990D63
Gloria	AR41ESB1187FB360B1
DJ Isaac	AR41O131187FB51448
Little Freddie King	AR43KFF1187B9B74B1
Harvey Averne	AR449OQ1187B99B25E
23rd Turnoff	AR44SDE1187FB4DC8A
Richard Walters	AR45GMQ1187FB466DA
Dr. Elmo	AR45KNL1187B992E53
Bad Religion	AR46CAD1187FB4D84B
Kellie Coffey	AR47DOS1187B996105
SUE THOMPSON	AR47JEX1187B995D81
D:Fuse	AR47RVG1187B995CE7
Saigon Kick	AR49A9P1187FB3BBBF
Xzibit featuring Jayo Felony and Method Man	AR49IQD1187FB37EA7
Dédé Saint-Prix	AR49IWV1187FB3C663
Piero Esteriore	AR49NV71187FB57689
T Lavitz	AR49REC1187B9AFDF4
Richard Burton	AR4ABL21187FB3913A
Wamdue Project	AR4AEIP1187FB4030A
Joy Enriquez	AR4AR1R1187B98E76F
Juan Diego Flórez / Orquesta Sinfónica de Madrid / Jesús López-Cobos	AR4B1LP1187FB55C83
Alexandre Desplat	AR4B3RX1187B9A868A
Robert Palmer	AR4BDNG1187FB44870
Django Asül	AR4BJFD1187FB43082
One Block Radius	AR4BSBD1187B9ACD3A
Moonspell	AR4C6V01187FB3BAF4
She Satellites	AR4C7UZ1187B9AB278
The Avengers	AR4CG3B1187FB5B861
Abysmal Dawn	AR4CH531187FB4EA21
Imiskoubria	AR4CL6I11C8A4158B4
The Fray	AR4EQ231187B99368F
Alceu Valença	AR4EVIX1187B993DE9
DÉSOLÉ	AR4F94Q1187FB43432
Corderoy & U4IC DJ'S	AR4FE4N1187B99395A
Mat Kearney	AR4FGSF1187FB528BE
Frankie J	AR4FVK41187FB4BC83
Indica	AR4G2AQ1187FB59D5B
B.B. King	AR4GAFY1187B9B639D
Zapp	AR4GJ3V1187FB4245B
Andy Griffith	AR4GP451187FB3F2BB
Suzi Quatro	AR4I72F1187B9A0D85
Cats In Boots	AR4IFI31187FB3A953
Strata	AR4IWYN1187FB47DF6
Off Broadway	AR4IYQR1187B98F8F3
Ann Hampton Callaway	AR4JY8V1187B98A62F
Soular	AR4K59J1187FB3759B
The Prodigy	AR4L4WQ1187FB51996
Bescenta	AR4L5ZC1187FB450A4
Phil Spector	AR4M1KM1187B9AC7E2
Atman	AR4MCB01187B98BF5C
A Different Breed of Killer	AR4NDUY119B8668DA3
Mink DeVille	AR4NREB1187B9AEDAC
Patric C	AR4NTMG1187B9B5C17
Gisselle	AR4O3MM1187FB3DF77
Angela Dimitriou	AR4OHL91187B9B2EB9
Cursed	AR4OMY81187B9B31E7
Paramore	AR4OU721187FB4549D
Ellen McIlwaine	AR4PCIG1187B98D07D
Dionne Warwick	AR4PQ891187FB5CA9F
Sylvia Patricia	AR4PZLK1187B999B4E
Mulberry Lane	AR4Q1VD1187B9893C7
DJ Harry	AR4QYVC1187B99985B
Bow Wow Wow	AR4R0741187FB39AF2
Death From Above 1979	AR4R1FL1187FB55C3B
Shelly Manne	AR4R84C1187FB3EC16
Earth	AR4R9BI1187FB44767
Geier Sturzflug	AR4SOKG1187B98D2B0
Martin Sexton	AR4TLW81187B99683D
Buddy Johnson	AR4UJ7O1187B994010
Saga	AR4W2E01187FB416AC
Alacranes Musical	AR4W5GR1187FB51F7E
Kenny Neal	AR4W9EZ1187B99282A
A Tribe Called Quest	AR4WHYC1187B9896E7
Bobby Russell	AR4WS1U1187FB5B02E
Deitrick Haddon	AR4Y1BM1187B99A1EF
The Cannanes	AR4YE5M1187B9934ED
The Red Jumpsuit Apparatus	AR4YKRO1187B9B7829
Spooky Tooth	AR4YY6D1187B9AEC44
Luciana Souza	AR4ZLZI1187B9B72D0
Brian Dullaghan	AR502DZ1187B98F8E1
Lole y Manuel	AR508LN1187B996F4E
Jack Sheldon	AR50Z881187B9BA197
Michael Salgado	AR51YM81187B9B536C
Alicia Keys	AR52EZT1187B9900BF
Anthony Cruz	AR52QY11187B99FC59
Back Door Slam	AR531IG1187FB59B35
Damone	AR53RLV1187FB39AA5
Harry Diboula	AR54KC51187B9A2B97
Renee Rosnes	AR553M51187B98BCE7
Swallow The Sun	AR557N41187FB3E67F
40 Grit	AR558FS1187FB45658
Moss	AR567PN1187FB4B4F2
Judas Iscariot	AR56CNM1187B99442A
Gary Moore	AR56P361187B9AC4DB
Lightnin' Slim	AR56UY11187FB46D49
The Balustrade Ensemble	AR573WK1187FB47167
Tampa Red	AR576O51187B990C30
Stanley Clarke & George Duke	AR57MOK1187FB3C8C7
Alan Feinberg	AR57WGF1187FB41F11
Gregory Isaacs	AR57Z841187B9B7D7D
Carpenters	AR58JT11187B9AF4CC
J. B. Lenoir	AR58SJE1187B9A8E4C
Zeltinger Band	AR58SW81187B992CA0
Kardinal Offishall / Keri Hilson	AR58ZXX1187FB572F2
The Tarriers	AR5995Z1187B9A112B
The Cat's Miaow	AR59C6A1187B9B2143
Scissors for Sparrow	AR59GUH1187FB4DF84
Sharon Burch	AR5AXVN1187B9A2761
Matt Redman	AR5BBK81187B990027
Headliners	AR5BLB01187FB57E99
Slightly Stoopid	AR5BX3Y1187FB39E93
The Grip Weeds	AR5C6M11187B9AC877
Falco	AR5DXUU1187B9B0E42
Kuba	AR5EQRI1187FB41287
Roger Clyne & The Peacemakers	AR5FIDV1187FB50D40
Bob Dylan	AR5FP401187FB523C9
Memphis Jug Band	AR5GLIU1187FB4638A
Chris Clark	AR5GMAV1187FB3A8F5
Bloomfield	AR5IDI61187FB43E75
Pascal Obispo	AR5IHI31187B998618
Loudermilk	AR5IIHR1187B991B70
Joe Heaney	AR5J8N51187FB54ED9
Extreme	AR5J8XN1187B9B712E
Cache Cache	AR5JR4O1187FB35F58
Old Soul	AR5K5P91187FB41FE2
Janice Vidal	AR5K75Y1187B9B5F7E
Konexion	AR5K96N11C8A421849
Jyve V	AR5KHL41187B9ADE2A
Elena	AR5KOSW1187FB35FF4
John Hiatt	AR5LE4K1187FB4C3BE
Britt Nicole	AR5LZJD1187FB4C5E5
SOL	AR5M35O1187B9A0D74
Edwin Hawkins	AR5M3681187B998D11
Bruce Robison	AR5M4GN1187FB3F2F6
Heaven 17	AR5MK521187B98E0B8
ÄI-TIEM	AR5MSL51187FB52E11
Soundgarden	AR5N8VN1187FB37A4E
Big John Greer	AR5NDDL1187B9A4EDB
SNAP!	AR5O6W51187FB46984
Darryl Worley	AR5OB9M1187FB52F29
Kenny Wayne Shepherd	AR5OH1V1187FB574C3
Iggy Pop	AR5OH2Z1187B9A46A9
Peret	AR5OHUU1187FB55B10
Eastmountainsouth	AR5OQSV1187B9953AF
Alfredo Kraus	AR5R7791187FB3A8C3
Pepe Kalle	AR5RA3W1187B9B4A22
Luisito Rosario	AR5RVV91187B9A4238
Chantal Chamandy	AR5S26K1187B9A3141
Darwin's Waiting Room	AR5T4YC1187FB5915E
Cornell Campbell	AR5TQ1T1187FB59492
John Hammond	AR5U94U1187FB5CDCF
Dropline	AR5UVIM1187B98A8B9
VHS Or Beta	AR5WPYF1187B9B40DA
Big Mountain	AR5ZGC11187FB417A3
Jim Kweskin_ The Jug Band	AR5ZI3K1187FB38BE0
John D. Loudermilk	AR5ZJLK1187B9B3A8E
Soulwax	AR5ZVJ91187B99083A
The Continentals	AR5ZY7R1187B996302
Pride Tiger	AR609UN1187FB53FA1
Kurtis Blow	AR60C3O1187FB46737
Beneath The Sky	AR60KPK1187B9A7552
Capone-N-Noreaga	AR60ZZX1187FB52E29
Scalplock	AR6137D1187B9A39C8
Ai Ai Ai	AR61JEC1187FB54A9F
David Benoit	AR62MPO1187FB46421
Chase & Status	AR62SOJ1187FB47BB5
Fred Simon	AR62YZW1187B9A22D7
Weezer	AR633SY1187B9AC3B9
Robert Lockwood_ Jr.	AR63RWN1187FB3E89A
Steinwolke	AR64H7U1187B990997
Edgar Bori	AR64N1H1187B996199
Rachael Lampa	AR658OS1187FB5C451
Beyoncé	AR65K7A1187FB4DAA4
P.O.D.	AR65OLD1187FB5C103
Joe Graves & The Diggers	AR6742W1187B989AA9
Maria & Margot Hellwig/Thomas Lehrberger	AR67FTZ1187B9975EC
David Lynch	AR681HS1187FB5BBFE
Placebo	AR6892W1187B9AC71B
Paso Doble	AR6896B1187B98FADA
Polkaholix	AR68V7Z1187B9A2FCA
The Jeremy Spencer Band	AR695PK1187B996E35
SUMO	AR69GPS1187B99E556
Kitaro	AR6AGJV1187FB504BA
Al De Lory	AR6BAYL1187B9AC66F
Sonny Terry	AR6BHP31187FB365E1
